County,State,Pov_Num_All,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Murder,Rape,Robbery,Aggravated_Assault,Burglary,Larceny,Vehicle_Theft,Arson,Population,Mean_Rent,Median_Rent,Latitude,Longitude
Dodge County,NE,4103.0,11.6,48969.0,76.97183736,1.0,12.0,6.0,49.0,248.0,1096.0,26.0,8.0,88344.0,726.0,687.0,43.631547,-88.737534
Douglas County,NE,77869.0,14.5,58405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,378.0,235.0,46.240045,-91.799516
Dundy County,NE,234.0,13.2,45745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981.0,494.0,424.0,40.051731,-101.535397
Fillmore County,NE,532.0,9.8,54086.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5698.0,645.0,752.0,40.414858,-97.587094
Franklin County,NE,393.0,13.3,44911.0,32.41491086,1.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,3085.0,719.0,751.0,46.643575,-118.556564
Frontier County,NE,313.0,12.6,50700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2709.0,0.0,0.0,40.689917,-100.400327
Furnas County,NE,637.0,13.4,40032.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4865.0,681.0,557.0,40.284279,-100.165389
Gage County,NE,2210.0,10.2,50746.0,178.3754116,0.0,9.0,2.0,28.0,138.0,448.0,15.0,1.0,21864.0,0.0,0.0,40.201426,-96.65885
Garfield County,NE,234.0,11.9,44643.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1290.0,671.0,648.0,46.473756,-117.596667
Grant County,NE,59.0,9.2,56646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7281.0,662.0,627.0,42.940412,-90.97229
Greeley County,NE,290.0,12.2,44920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2494.0,591.0,480.0,41.689281,-98.362548
Hall County,NE,8182.0,13.5,50093.0,154.3686323,0.0,0.0,0.0,5.0,17.0,25.0,5.0,0.0,3239.0,564.0,543.0,34.393922,-100.895302
Hamilton County,NE,661.0,7.3,65103.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,0.0,0.0,8368.0,674.0,603.0,31.700387,-98.119669
Harlan County,NE,409.0,12.0,47844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3513.0,430.0,402.0,40.131721,-99.4551
Hayes County,NE,137.0,14.7,50516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,490.0,451.0,40.511024,-101.020397
Holt County,NE,1207.0,11.9,50434.0,28.71088142,0.0,0.0,0.0,3.0,10.0,34.0,0.0,0.0,10449.0,544.0,494.0,42.601069,-99.140632
Hooker County,NE,57.0,8.1,42989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,661.0,628.0,42.043188,-101.044336
Howard County,NE,660.0,10.4,52464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6355.0,797.0,774.0,32.295744,-101.308823
Jefferson County,NE,882.0,12.3,46812.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,2.0,0.0,7560.0,1346.0,1359.0,39.212602,-77.810685
Johnson County,NE,546.0,13.2,47382.0,58.32037325,0.0,0.0,0.0,3.0,1.0,20.0,2.0,0.0,5144.0,1216.0,1338.0,32.569188,-97.120532
Kearney County,NE,559.0,8.6,50645.0,91.63103238,0.0,1.0,0.0,5.0,33.0,153.0,5.0,1.0,6548.0,621.0,619.0,40.364112,-99.169411
Keith County,NE,872.0,10.9,46888.0,86.10086101,0.0,2.0,3.0,2.0,15.0,118.0,6.0,0.0,8130.0,615.0,583.0,41.123371,-101.351957
Knox County,NE,1141.0,13.7,45566.0,11.67542323,0.0,0.0,0.0,1.0,6.0,24.0,1.0,0.0,8565.0,554.0,536.0,33.583606,-99.792932
Lancaster County,NE,39383.0,13.5,54422.0,71.76175099,1.0,4.0,0.0,3.0,23.0,102.0,4.0,2.0,11148.0,1038.0,888.0,37.644737,-76.389965
Lincoln County,NE,4294.0,12.3,53856.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,3.0,0.0,3147.0,0.0,0.0,42.862266,-110.900716
Logan County,NE,69.0,8.9,51098.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,1.0,0.0,1946.0,523.0,549.0,37.78681,-81.984432
McPherson County,NE,57.0,12.1,57175.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2457.0,0.0,0.0,38.550549,-97.427721
Madison County,NE,4675.0,13.8,51330.0,38.83997929,0.0,1.0,0.0,5.0,45.0,85.0,5.0,0.0,15448.0,763.0,777.0,31.02512,-95.7565
Merrick County,NE,796.0,10.4,51219.0,0.0,0.0,0.0,0.0,0.0,5.0,52.0,3.0,0.0,7802.0,591.0,575.0,41.22241,-98.259761
Morrill County,NE,645.0,13.5,49082.0,40.74979625,0.0,0.0,0.0,2.0,6.0,47.0,3.0,0.0,4908.0,632.0,597.0,41.597944,-102.852399
Nance County,NE,459.0,13.2,46958.0,82.80430582,0.0,1.0,0.0,2.0,10.0,13.0,3.0,0.0,3623.0,540.0,537.0,41.470841,-98.067731
Nemaha County,NE,853.0,13.1,52034.0,111.7786782,0.0,6.0,0.0,2.0,10.0,23.0,4.0,0.0,7157.0,564.0,562.0,40.338801,-95.675965
Nuckolls County,NE,531.0,12.5,41956.0,67.98096533,0.0,0.0,0.0,3.0,6.0,15.0,0.0,0.0,4413.0,633.0,541.0,40.022973,-98.066257
Otoe County,NE,1648.0,10.6,53015.0,38.09040122,0.0,2.0,1.0,3.0,42.0,206.0,15.0,2.0,15752.0,612.0,559.0,40.668679,-96.030868
Pawnee County,NE,345.0,13.2,43646.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,2.0,0.0,2709.0,482.0,453.0,36.38043,-96.703909
Perkins County,NE,294.0,10.1,58066.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,3037.0,681.0,499.0,40.763664,-102.044184
Phelps County,NE,936.0,10.4,55566.0,108.5422772,0.0,5.0,0.0,5.0,16.0,140.0,6.0,0.0,9213.0,721.0,754.0,40.463051,-99.250838
Pierce County,NE,664.0,9.4,56744.0,27.97202797,0.0,0.0,0.0,2.0,6.0,28.0,0.0,1.0,7150.0,717.0,700.0,44.736178,-92.480249
Platte County,NE,2670.0,8.3,58554.0,45.63605248,0.0,1.0,0.0,3.0,23.0,61.0,5.0,0.0,8765.0,0.0,0.0,42.061641,-105.06758
Polk County,NE,401.0,7.9,61965.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,1.0,2.0,5275.0,794.0,712.0,45.363176,-92.634675
Red Willow County,NE,1237.0,11.8,49308.0,99.94548428,0.0,4.0,1.0,6.0,50.0,211.0,13.0,4.0,11006.0,604.0,534.0,40.20459,-100.621371
Richardson County,NE,1026.0,13.0,44648.0,49.23076923,0.0,0.0,0.0,4.0,9.0,36.0,1.0,0.0,8125.0,559.0,525.0,40.130886,-95.830079
Rock County,NE,191.0,14.2,51447.0,141.7434444,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1411.0,748.0,712.0,42.629377,-89.257259
Saline County,NE,1328.0,10.0,55850.0,104.0510544,0.0,3.0,2.0,10.0,89.0,182.0,13.0,3.0,14416.0,663.0,667.0,40.64738,-97.114886
Sarpy County,NE,10095.0,5.8,73856.0,55.51257596,1.0,37.0,22.0,34.0,331.0,2046.0,210.0,12.0,169331.0,632.0,587.0,41.085271,-96.133196
Saunders County,NE,1813.0,8.8,61025.0,33.44641407,0.0,1.0,1.0,5.0,36.0,164.0,8.0,1.0,20929.0,565.0,669.0,41.309512,-96.808157
Scotts Bluff County,NE,5364.0,15.1,43428.0,73.27399045,0.0,6.0,3.0,18.0,137.0,658.0,39.0,2.0,36848.0,782.0,724.0,41.868088,-103.662035
Seward County,NE,1191.0,7.5,62455.0,46.81373983,0.0,4.0,0.0,4.0,25.0,110.0,10.0,0.0,17089.0,724.0,637.0,40.909211,-97.096095
Sheridan County,NE,732.0,14.3,47005.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,3.0,0.0,1304.0,699.0,726.0,44.907898,-107.166066
Sherman County,NE,379.0,12.5,42643.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,0.0,3093.0,699.0,642.0,36.336609,-102.073915
Sioux County,NE,176.0,14.0,55606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1313.0,679.0,522.0,46.086599,-100.630182
Stanton County,NE,504.0,8.5,56423.0,16.30523398,0.0,0.0,0.0,1.0,7.0,57.0,1.0,0.0,6133.0,562.0,504.0,41.948045,-97.212275
Thayer County,NE,513.0,10.2,48947.0,77.08614377,0.0,0.0,0.0,4.0,27.0,52.0,1.0,0.0,5189.0,474.0,474.0,40.008741,-97.497006
Thomas County,NE,86.0,12.6,48754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,527.0,537.0,41.979172,-100.574729
Thurston County,NE,1785.0,25.6,42290.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6895.0,1097.0,1138.0,46.942612,-122.643077
Valley County,NE,501.0,12.2,49929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4193.0,443.0,382.0,41.495455,-98.772679
Washington County,NE,1328.0,6.7,68435.0,34.61405331,0.0,2.0,2.0,3.0,20.0,93.0,13.0,0.0,20223.0,875.0,876.0,43.432069,-88.047646
Wayne County,NE,992.0,12.0,54503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20539.0,526.0,509.0,38.225091,-82.441558
Webster County,NE,452.0,12.9,40444.0,27.11496746,0.0,0.0,0.0,1.0,9.0,22.0,3.0,0.0,3688.0,0.0,0.0,38.460516,-80.373231
Wheeler County,NE,85.0,11.4,55106.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,759.0,574.0,552.0,44.998081,-120.214649
York County,NE,1316.0,10.1,59500.0,50.42137866,0.0,2.0,4.0,1.0,47.0,209.0,9.0,1.0,13883.0,870.0,808.0,34.942219,-81.0256
Churchill County,NV,3115.0,13.1,54134.0,187.0091011,1.0,2.0,6.0,36.0,153.0,385.0,39.0,1.0,24063.0,721.0,697.0,39.1732386,-119.7297445
Clark County,NV,321755.0,15.4,51624.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,867.0,531.0,499.0,44.950833,-90.598773
Douglas County,NV,4459.0,9.4,63620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,378.0,235.0,46.240045,-91.799516
Elko County,NV,5065.0,9.9,76518.0,351.2522908,6.0,39.0,10.0,129.0,343.0,778.0,137.0,4.0,52384.0,702.0,676.0,40.740253,-114.078633
Humboldt County,NV,1581.0,9.4,68060.0,30.96614368,0.0,0.0,1.0,2.0,25.0,49.0,11.0,0.0,9688.0,762.0,798.0,40.964518,-117.724649
Lander County,NV,637.0,10.8,76713.0,663.1299735,0.0,9.0,0.0,31.0,38.0,55.0,11.0,3.0,6032.0,0.0,0.0,39.210131,-117.067937
Lincoln County,NV,685.0,14.3,51788.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,3.0,0.0,3147.0,0.0,0.0,42.862266,-110.900716
Lyon County,NV,7180.0,13.8,51934.0,35.49875754,0.0,1.0,0.0,2.0,18.0,67.0,3.0,0.0,8451.0,772.0,836.0,39.365594,-119.383178
Mineral County,NV,796.0,18.0,42164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,721.0,615.0,599.0,39.615175,-78.761355
Nye County,NV,7349.0,17.5,43819.0,609.9723385,0.0,11.0,26.0,221.0,334.0,687.0,126.0,10.0,42297.0,548.0,508.0,38.099649,-117.248229
Pershing County,NV,908.0,18.3,54416.0,1148.756725,0.0,3.0,1.0,75.0,27.0,43.0,5.0,0.0,6877.0,0.0,0.0,40.44375,-118.114901
Washoe County,NV,61017.0,13.8,56457.0,375.8089692,12.0,75.0,411.0,1132.0,2626.0,7466.0,1228.0,66.0,433731.0,1182.0,1162.0,39.521437,-119.983895
White Pine County,NV,1198.0,14.1,54975.0,457.3928607,0.0,11.0,1.0,34.0,61.0,58.0,4.0,1.0,10057.0,0.0,0.0,38.915703,-115.064318
Belknap County,NH,5217.0,8.8,63377.0,207.7136543,0.0,29.0,13.0,83.0,359.0,1485.0,56.0,9.0,60179.0,657.0,803.0,43.3989265,-72.3270208
Carroll County,NH,4497.0,9.6,54351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10385.0,540.0,549.0,36.738767,-80.809459
Cheshire County,NH,7064.0,9.9,60339.0,137.0578253,0.0,14.0,18.0,73.0,220.0,1087.0,41.0,9.0,76610.0,840.0,889.0,42.825843,-72.182874
Coos County,NH,4792.0,16.1,40286.0,106.2599619,2.0,8.0,6.0,18.0,97.0,400.0,9.0,4.0,31997.0,439.0,434.0,42.885003,-124.076248
Grafton County,NH,9245.0,11.2,57827.0,121.6124246,0.0,28.0,14.0,67.0,302.0,1354.0,31.0,33.0,89629.0,894.0,843.0,43.738808,-71.702716
Hillsborough County,NH,31984.0,8.0,73474.0,243.5734,2.0,142.0,275.0,565.0,1695.0,7007.0,339.0,117.0,403985.0,1193.0,1183.0,43.001266,-71.513482
Merrimack County,NH,11691.0,8.3,68148.0,129.384606,0.0,38.0,33.0,119.0,431.0,2266.0,75.0,26.0,146849.0,704.0,844.0,43.284243,-71.824022
Rockingham County,NH,15687.0,5.2,87103.0,75.89302942,0.0,13.0,4.0,42.0,204.0,479.0,49.0,0.0,77741.0,793.0,666.0,38.417268,-78.941163
Strafford County,NH,13382.0,11.4,60931.0,201.4559405,2.0,54.0,42.0,153.0,479.0,2612.0,75.0,39.0,124593.0,965.0,972.0,43.253476,-70.887944
Sullivan County,NH,4734.0,11.2,53804.0,51.83056118,3.0,1.0,0.0,7.0,64.0,252.0,17.0,0.0,21223.0,612.0,542.0,36.444433,-82.461254
Atlantic County,NJ,37923.0,14.1,53296.0,457.4751144,30.0,74.0,479.0,678.0,1794.0,6331.0,301.0,37.0,275862.0,1412.0,1406.0,40.6364833,-75.1749057
Bergen County,NJ,65906.0,7.1,88512.0,93.26422631,7.0,32.0,301.0,523.0,2068.0,8693.0,621.0,35.0,925328.0,1460.0,1475.0,40.989032,-74.031872
Burlington County,NJ,33675.0,7.7,74844.0,150.8302317,2.0,86.0,247.0,344.0,1938.0,5766.0,369.0,55.0,450838.0,1529.0,1427.0,39.932045,-74.95278
Camden County,NJ,65805.0,13.1,63589.0,117.7971925,0.0,1.0,2.0,9.0,40.0,72.0,3.0,0.0,10187.0,999.0,902.0,39.845416,-75.021701
Cape May County,NJ,9684.0,10.5,55632.0,265.9102996,2.0,12.0,53.0,187.0,1054.0,3278.0,84.0,3.0,95897.0,1255.0,1258.0,39.016268,-74.935972
Cumberland County,NJ,24740.0,17.2,50259.0,58.9188393,0.0,1.0,1.0,2.0,32.0,14.0,4.0,0.0,6789.0,956.0,958.0,37.297458,-78.399326
Essex County,NJ,131125.0,16.8,52206.0,0.0,0.0,0.0,0.0,0.0,19.0,28.0,0.0,0.0,6211.0,570.0,617.0,44.814026,-71.885546
Gloucester County,NJ,22086.0,7.7,76780.0,95.0209046,2.0,9.0,6.0,18.0,103.0,572.0,13.0,3.0,36834.0,995.0,847.0,37.270274,-76.497368
Hudson County,NJ,117828.0,17.7,60053.0,441.3265847,15.0,84.0,1323.0,1493.0,2664.0,8135.0,1504.0,38.0,660282.0,1665.0,1596.0,40.781958,-74.067649
Hunterdon County,NJ,6046.0,5.0,102797.0,36.43564356,3.0,2.0,5.0,36.0,265.0,804.0,31.0,5.0,126250.0,1582.0,1481.0,40.616169,-74.771893
Mercer County,NJ,39354.0,11.2,72172.0,27.06359946,0.0,0.0,0.0,1.0,7.0,12.0,1.0,0.0,3695.0,683.0,684.0,37.368782,-81.096206
Middlesex County,NJ,69660.0,8.5,78249.0,65.04367218,0.0,4.0,0.0,3.0,19.0,35.0,1.0,0.0,10762.0,1252.0,1228.0,37.605274,-76.593798
Monmouth County,NJ,46641.0,7.5,86722.0,176.5998806,11.0,86.0,366.0,649.0,2556.0,9202.0,352.0,41.0,629672.0,2394.0,1861.0,40.305904,-74.338899
Morris County,NJ,25917.0,5.3,101754.0,70.28476342,2.0,31.0,106.0,212.0,1144.0,3850.0,205.0,5.0,499397.0,705.0,724.0,33.030488,-94.72588
Ocean County,NJ,63101.0,10.9,63478.0,104.2141601,4.0,31.0,158.0,415.0,2659.0,8369.0,212.0,66.0,583414.0,996.0,1068.0,39.592099,-74.333448
Passaic County,NJ,86457.0,17.3,55723.0,481.7351959,30.0,42.0,1213.0,1151.0,3093.0,6599.0,1392.0,19.0,505672.0,1435.0,1332.0,40.889908,-74.194581
Salem County,NJ,7524.0,11.9,63988.0,267.0104042,1.0,13.0,47.0,113.0,488.0,987.0,50.0,13.0,65166.0,927.0,955.0,39.650178,-75.326232
Somerset County,NJ,18132.0,5.5,99059.0,66.85118805,2.0,16.0,111.0,93.0,1028.0,3254.0,201.0,14.0,330585.0,653.0,471.0,39.730612,-78.847983
Sussex County,NJ,7958.0,5.6,84431.0,57.53739931,5.0,9.0,22.0,48.0,416.0,1356.0,35.0,3.0,145992.0,819.0,828.0,36.969126,-76.988096
Union County,NJ,58384.0,10.6,70581.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7277.0,516.0,546.0,36.246639,-83.806439
Warren County,NJ,8040.0,7.7,71672.0,47.53416518,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,8415.0,550.0,566.0,35.538708,-85.860575
Bernalillo County,NM,126614.0,19.0,47870.0,738.4818924,50.0,329.0,1184.0,3416.0,7857.0,22025.0,3032.0,139.0,674221.0,741.0,777.0,34.5801825,-106.6162263
Catron County,NM,805.0,23.4,36570.0,277.2387025,0.0,1.0,1.0,9.0,35.0,32.0,6.0,0.0,3607.0,0.0,0.0,33.682001,-108.858158
Chaves County,NM,13499.0,21.1,39265.0,549.9597405,8.0,37.0,48.0,269.0,756.0,2141.0,110.0,14.0,65823.0,789.0,708.0,33.373442,-104.529393
Cibola County,NM,7237.0,29.2,35580.0,720.6877629,1.0,15.0,7.0,174.0,232.0,199.0,51.0,2.0,27335.0,0.0,0.0,35.053348,-107.560966
Colfax County,NM,2358.0,19.7,37269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10425.0,0.0,0.0,36.546688,-105.103801
Curry County,NM,10597.0,21.7,41879.0,80.57657012,0.0,2.0,3.0,13.0,104.0,268.0,25.0,7.0,22339.0,0.0,0.0,42.287853,-124.398775
Eddy County,NM,7015.0,12.3,60407.0,41.59733777,0.0,0.0,0.0,1.0,3.0,15.0,0.0,0.0,2404.0,1147.0,1143.0,32.819669,-103.978353
Grant County,NM,5753.0,20.5,39792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7281.0,662.0,627.0,42.940412,-90.97229
Guadalupe County,NM,910.0,23.9,31710.0,193.4587207,2.0,67.0,31.0,177.0,601.0,2271.0,127.0,10.0,143183.0,0.0,0.0,29.505443,-98.1501
Hidalgo County,NM,1098.0,25.2,34336.0,316.7907686,30.0,202.0,474.0,1879.0,6465.0,22631.0,1421.0,171.0,815996.0,462.0,504.0,26.271791,-98.340422
Lea County,NM,9875.0,14.3,54686.0,501.0137816,4.0,28.0,28.0,280.0,729.0,1600.0,184.0,6.0,68062.0,857.0,856.0,32.610624,-103.103358
Lincoln County,NM,3436.0,17.8,40297.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,3.0,0.0,3147.0,0.0,0.0,42.862266,-110.900716
Los Alamos County,NM,709.0,4.0,107126.0,337.1165299,0.0,10.0,0.0,49.0,39.0,164.0,5.0,3.0,17798.0,1130.0,1135.0,35.792843,-106.203267
Luna County,NM,7395.0,30.9,27151.0,588.020601,0.0,9.0,6.0,130.0,243.0,583.0,28.0,4.0,24659.0,0.0,0.0,32.270417,-107.67399
McKinley County,NM,25921.0,34.1,29040.0,694.3307688,7.0,42.0,67.0,393.0,540.0,1615.0,127.0,18.0,73308.0,332.0,321.0,35.070743,-108.848351
Mora County,NM,1097.0,23.9,31816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4704.0,0.0,0.0,35.789553,-104.982274
Otero County,NM,14268.0,23.0,38381.0,181.7890178,0.0,7.0,3.0,24.0,98.0,203.0,10.0,2.0,18703.0,583.0,663.0,33.075001,-106.017299
Quay County,NM,1937.0,23.0,29047.0,311.7063034,0.0,2.0,4.0,21.0,125.0,144.0,10.0,0.0,8662.0,433.0,614.0,35.114161,-103.335351
Rio Arriba County,NM,9486.0,24.2,37319.0,563.9848273,1.0,5.0,38.0,182.0,401.0,396.0,39.0,3.0,40072.0,375.0,374.0,36.159292,-105.958756
Roosevelt County,NM,3682.0,20.4,38053.0,386.5168539,0.0,6.0,1.0,36.0,51.0,207.0,12.0,2.0,11125.0,732.0,674.0,34.176355,-103.354213
Sandoval County,NM,15572.0,11.2,62833.0,260.6626396,4.0,28.0,30.0,293.0,595.0,1648.0,201.0,17.0,136575.0,481.0,660.0,35.517516,-106.366982
San Juan County,NM,22047.0,18.8,49173.0,81.88976378,0.0,4.0,0.0,9.0,73.0,133.0,11.0,0.0,15875.0,625.0,624.0,38.474263,-109.420972
San Miguel County,NM,7734.0,28.7,32303.0,78.14535035,0.0,0.0,0.0,6.0,8.0,105.0,2.0,0.0,7678.0,0.0,0.0,35.460419,-105.284209
Santa Fe County,NM,19165.0,13.1,55247.0,355.4397889,6.0,24.0,136.0,358.0,2735.0,2421.0,252.0,31.0,147423.0,841.0,730.0,35.809034,-105.975178
Sierra County,NM,3152.0,28.7,29432.0,388.8696854,1.0,3.0,1.0,40.0,86.0,184.0,21.0,0.0,11572.0,509.0,493.0,33.23091,-107.269324
Socorro County,NM,3924.0,23.5,33673.0,739.3084622,0.0,3.0,2.0,124.0,139.0,365.0,23.0,3.0,17584.0,594.0,583.0,34.054673,-106.906169
Taos County,NM,6516.0,19.9,37092.0,184.6526411,2.0,6.0,7.0,46.0,171.0,338.0,5.0,1.0,33035.0,684.0,393.0,36.465565,-105.56347
Torrance County,NM,3882.0,26.2,35950.0,343.5770185,0.0,3.0,0.0,51.0,125.0,162.0,24.0,3.0,15717.0,0.0,0.0,34.724134,-106.300827
Union County,NM,602.0,17.1,36715.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7277.0,516.0,546.0,36.246639,-83.806439
Valencia County,NM,14643.0,19.8,42395.0,492.8949714,4.0,15.0,18.0,338.0,822.0,931.0,204.0,9.0,76284.0,596.0,548.0,34.805357,-106.68694
Albany County,NY,36827.0,12.6,57312.0,117.5778954,1.0,15.0,2.0,26.0,118.0,782.0,29.0,9.0,37422.0,425.0,424.0,41.0786928,-104.8136777
Allegany County,NY,7242.0,16.8,44331.0,137.1884679,2.0,9.0,3.0,52.0,217.0,585.0,20.0,2.0,48109.0,604.0,571.0,42.120705,-77.94573
Broome County,NY,32876.0,17.7,46067.0,303.2389361,7.0,59.0,135.0,398.0,1252.0,4891.0,126.0,27.0,197534.0,706.0,698.0,42.135641,-75.894411
Cattaraugus County,NY,13552.0,18.0,40933.0,190.1333469,1.0,18.0,17.0,114.0,432.0,1452.0,34.0,9.0,78892.0,780.0,439.0,42.079422,-78.474193
Cayuga County,NY,9392.0,12.7,51925.0,178.6680423,1.0,13.0,22.0,106.0,305.0,1306.0,46.0,15.0,79477.0,728.0,650.0,43.048124,-76.563607
Chautauqua County,NY,21630.0,17.2,43973.0,140.7657658,0.0,0.0,0.0,4.0,19.0,29.0,2.0,1.0,3552.0,618.0,620.0,42.321871,-79.574754
Chemung County,NY,12278.0,14.9,51285.0,250.8304522,4.0,2.0,46.0,170.0,398.0,1770.0,46.0,4.0,88506.0,792.0,736.0,42.198052,-76.554511
Chenango County,NY,6853.0,14.3,49082.0,115.1445367,0.0,17.0,9.0,31.0,180.0,753.0,25.0,2.0,49503.0,508.0,503.0,42.686925,-75.568689
Clinton County,NY,12998.0,17.5,46747.0,19.71220185,0.0,1.0,0.0,1.0,8.0,10.0,6.0,0.0,10146.0,502.0,537.0,41.324691,-77.742258
Columbia County,NY,8170.0,13.6,58335.0,56.8618184,1.0,12.0,22.0,42.0,451.0,2035.0,110.0,11.0,135416.0,724.0,735.0,43.450683,-89.240512
Cortland County,NY,7221.0,16.2,49894.0,130.6762496,1.0,11.0,19.0,33.0,249.0,772.0,20.0,7.0,48976.0,675.0,674.0,42.514147,-76.20009
Delaware County,NY,7428.0,16.9,42907.0,75.14366496,2.0,32.0,59.0,45.0,797.0,2334.0,100.0,23.0,184979.0,771.0,761.0,39.877371,-75.344502
Dutchess County,NY,28978.0,10.4,71348.0,227.6738202,5.0,30.0,161.0,480.0,897.0,4133.0,145.0,41.0,296916.0,2249.0,2249.0,41.665846,-73.867477
Erie County,NY,139581.0,15.6,52176.0,186.7241742,6.0,13.0,35.0,89.0,577.0,1743.0,47.0,9.0,76048.0,829.0,755.0,42.002732,-79.804783
Essex County,NY,4418.0,12.2,52282.0,0.0,0.0,0.0,0.0,0.0,19.0,28.0,0.0,0.0,6211.0,570.0,617.0,44.814026,-71.885546
Franklin County,NY,8234.0,18.3,45682.0,32.41491086,1.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,3085.0,719.0,751.0,46.643575,-118.556564
Fulton County,NY,9448.0,17.9,46543.0,73.35322021,0.0,1.0,3.0,11.0,41.0,69.0,13.0,0.0,20449.0,0.0,0.0,40.032144,-78.192598
Genesee County,NY,7618.0,13.4,53771.0,154.7414808,0.0,12.0,8.0,72.0,266.0,1059.0,32.0,16.0,59454.0,701.0,659.0,42.879399,-78.022039
Greene County,NY,7298.0,16.4,48144.0,21.06149958,0.0,0.0,0.0,3.0,10.0,11.0,6.0,0.0,14244.0,590.0,510.0,36.168022,-82.819673
Hamilton County,NY,523.0,11.1,47997.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,0.0,0.0,8368.0,674.0,603.0,31.700387,-98.119669
Herkimer County,NY,7806.0,12.7,49504.0,194.7616896,2.0,10.0,3.0,110.0,268.0,883.0,30.0,6.0,64181.0,543.0,476.0,42.883783,-75.191375
Jefferson County,NY,15718.0,14.1,50179.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,2.0,0.0,7560.0,1346.0,1359.0,39.212602,-77.810685
Kings County,NY,581684.0,22.3,51026.0,508.081611,4.0,55.0,106.0,602.0,813.0,2222.0,405.0,34.0,150960.0,973.0,876.0,36.295954,-119.798256
Lewis County,NY,3716.0,14.0,50846.0,43.45936549,0.0,2.0,0.0,3.0,43.0,36.0,3.0,1.0,13806.0,576.0,552.0,39.038762,-80.462208
Livingston County,NY,7736.0,13.2,53945.0,85.00115911,0.0,14.0,1.0,40.0,169.0,953.0,15.0,2.0,64705.0,864.0,735.0,42.63499,-77.596423
Madison County,NY,8690.0,12.9,58094.0,38.83997929,0.0,1.0,0.0,5.0,45.0,85.0,5.0,0.0,15448.0,763.0,777.0,31.02512,-95.7565
Monroe County,NY,107747.0,14.8,54204.0,27.42543709,0.0,2.0,0.0,2.0,42.0,57.0,0.0,1.0,14585.0,563.0,615.0,37.398976,-80.795017
Montgomery County,NY,8985.0,18.4,44414.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,9226.0,902.0,923.0,37.206332,-80.488108
